make,model,class,drive,transmission,cylinders,engine_displacement,fuel_type,fuel_type_1,city_mpg,highway_mpg,co2,fuel_economy_score,ghg_score
Infiniti,QX60 Hybrid FWD,Standard Sport Utility Vehicle 2WD,Front-Wheel Drive,Auto(AV-S7),4,2.5,Regular,Regular Gasoline,25,27,341,6,6
Infiniti,QX70 AWD,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S7),6,3.7,Premium,Premium Gasoline,16,22,486,3,3
Infiniti,QX70 RWD,Small Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S7),6,3.7,Premium,Premium Gasoline,17,24,457,4,4
Infiniti,QX80 2WD,Standard Sport Utility Vehicle 2WD,Rear-Wheel Drive,Automatic (S7),8,5.6,Premium,Premium Gasoline,14,20,548,2,2
Infiniti,QX80 4WD,Standard Sport Utility Vehicle 4WD,4-Wheel Drive,Automatic (S7),8,5.6,Premium,Premium Gasoline,13,19,593,2,2
Jaguar,F-Pace,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,18,23,446,4,4
Jaguar,F-Pace,Small Sport Utility Vehicle 4WD,All-Wheel Drive,Automatic (S8),4,2.0,Diesel,Diesel,26,33,352,7,5
Jaguar,F-Type Convertible,Two Seaters,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,20,28,390,5,5
Jaguar,F-Type Convertible,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,6,3.0,Premium,Premium Gasoline,16,24,476,4,4
Jaguar,F-Type Coupe,Two Seaters,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,20,28,390,5,5
Jaguar,F-Type Coupe,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,6,3.0,Premium,Premium Gasoline,16,24,476,4,4
Jaguar,F-Type R AWD Convertible,Two Seaters,All-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,15,23,500,3,3
Jaguar,F-Type R AWD Coupe,Two Seaters,All-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,15,23,500,3,3
Jaguar,F-Type S AWD Convertible,Two Seaters,All-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,18,26,426,4,4
Jaguar,F-Type S AWD Coupe,Two Seaters,All-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,18,26,426,4,4
Jaguar,F-Type S Convertible,Two Seaters,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,19,27,407,5,5
Jaguar,F-Type S Convertible,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,6,3.0,Premium,Premium Gasoline,15,24,485,3,3
Jaguar,F-Type S Coupe,Two Seaters,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,19,27,407,5,5
Jaguar,F-Type S Coupe,Two Seaters,Rear-Wheel Drive,Manual 6-Speed,6,3.0,Premium,Premium Gasoline,15,24,485,3,3
Jaguar,XE,Compact Cars,Rear-Wheel Drive,Automatic (S8),4,2.0,Premium,Premium Gasoline,21,30,368,5,5
Jaguar,XE,Compact Cars,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,21,30,369,5,5
Jaguar,XE,Compact Cars,Rear-Wheel Drive,Automatic (S8),4,2.0,Diesel,Diesel,32,42,284,8,7
Jaguar,XE AWD,Compact Cars,All-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,20,29,383,5,5
Jaguar,XE AWD,Compact Cars,All-Wheel Drive,Automatic (S8),4,2.0,Diesel,Diesel,30,40,299,8,7
Jaguar,XF,Midsize Cars,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,20,29,377,5,5
Jaguar,XF,Midsize Cars,Rear-Wheel Drive,Automatic (S8),4,2.0,Diesel,Diesel,31,42,289,8,7
Jaguar,XF AWD,Midsize Cars,All-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,20,28,390,5,5
Jaguar,XF AWD,Midsize Cars,All-Wheel Drive,Automatic (S8),4,2.0,Diesel,Diesel,30,40,299,8,7
Jaguar,XJ,Large Cars,Rear-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,15,23,503,3,3
Jaguar,XJ,Large Cars,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,18,27,416,4,4
Jaguar,XJ AWD,Large Cars,All-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,17,26,444,4,4
Jaguar,XJL,Large Cars,Rear-Wheel Drive,Automatic (S8),8,5.0,Premium,Premium Gasoline,15,23,503,3,3
Jaguar,XJL,Large Cars,Rear-Wheel Drive,Automatic (S8),6,3.0,Premium,Premium Gasoline,18,27,418,4,4
